Concurso|Data_Sorteio|Bola1|Bola2|Bola3|Bola4|Bola5|Bola6|Bola7|Bola8|Bola9|Bola10|Bola11|Bola12|Bola13|Bola14|Bola15|Arrecadação_Total|Ganhadores_15_Números|Cidade|Ganhadores_14_Números|Ganhadores_13_Números|Ganhadores_12_Números|Ganhadores_11_Números|Valor_Rateio_15_Números|Valor_Rateio_14_Números|Valor_Rateio_13_Números|Valor_Rateio_12_Números|Valor_Rateio_11_Números|Acumulado_15_Números|Estimativa_Prêmio|Valor_Acumulado_Especial
1|29/09/2003|2.0|3.0|5.0|6.0|9.0|10.0|11.0|13.0|14.0|16.0|18.0|20.0|23.0|24.0|25.0|R$0,00|5.0|BAPRSP|154.0|4645.0|48807.0|257593.0|R$49.765,82|R$689,84|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
2|06/10/2003|1.0|4.0|5.0|6.0|7.0|9.0|11.0|12.0|13.0|15.0|16.0|19.0|20.0|23.0|24.0|R$0,00|1.0|SP|184.0|6232.0|81252.0|478188.0|R$596.323,70|R$1.388,95|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
3|13/10/2003|1.0|4.0|6.0|7.0|8.0|9.0|10.0|11.0|12.0|14.0|16.0|17.0|20.0|23.0|24.0|R$0,00|2.0|SP|158.0|6897.0|96244.0|608211.0|R$400.623,70|R$2.173,36|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
4|20/10/2003|1.0|2.0|4.0|5.0|8.0|10.0|12.0|13.0|16.0|17.0|18.0|19.0|23.0|24.0|25.0|R$0,00|1.0|MT|258.0|9569.0|123912.0|706657.0|R$902.226,02|R$1.498,72|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
5|27/10/2003|1.0|2.0|4.0|8.0|9.0|11.0|12.0|13.0|15.0|16.0|19.0|20.0|23.0|24.0|25.0|R$0,00|2.0|BAMS|472.0|14736.0|195636.0|860992.0|R$380.017,55|R$687,49|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
6|03/11/2003|1.0|2.0|4.0|5.0|6.0|7.0|10.0|12.0|15.0|16.0|17.0|19.0|21.0|23.0|25.0|R$0,00|2.0|RJRS|393.0|14242.0|162320.0|888301.0|R$489.140,06|R$1.066,83|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
7|10/11/2003|1.0|4.0|7.0|8.0|10.0|12.0|14.0|15.0|16.0|18.0|19.0|21.0|22.0|23.0|25.0|R$0,00|9.0|BADFGOMGRJRSSP|1333.0|25878.0|206828.0|967358.0|R$104.625,29|R$301,59|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
8|17/11/2003|1.0|5.0|6.0|8.0|9.0|10.0|13.0|15.0|16.0|17.0|18.0|19.0|20.0|22.0|25.0|R$0,00|1.0|BA|256.0|11414.0|149037.0|926910.0|R$1.201.958,08|R$2.012,21|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
9|24/11/2003|3.0|4.0|5.0|9.0|10.0|11.0|13.0|15.0|16.0|17.0|19.0|20.0|21.0|24.0|25.0|R$0,00|3.0|PRSP|407.0|14973.0|213511.0|1104328.0|R$336.053,65|R$1.061,60|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
10|01/12/2003|2.0|3.0|4.0|5.0|6.0|8.0|9.0|10.0|11.0|12.0|14.0|19.0|20.0|23.0|24.0|R$0,00|0.0||380.0|15767.0|207355.0|1186563.0|R$0,00|R$1.157,08|R$10,00|R$4,00|R$2,00|R$1.025.945,00|R$0,00|R$0,00
11|08/12/2003|2.0|6.0|7.0|8.0|9.0|10.0|11.0|12.0|16.0|19.0|20.0|22.0|23.0|24.0|25.0|R$0,00|0.0||306.0|14249.0|216679.0|1343171.0|R$0,00|R$1.855,82|R$10,00|R$4,00|R$2,00|R$2.351.000,93|R$0,00|R$0,00
12|15/12/2003|1.0|2.0|4.0|5.0|7.0|8.0|9.0|10.0|11.0|12.0|14.0|16.0|17.0|24.0|25.0|R$0,00|1.0|GO|631.0|24400.0|322557.0|1607584.0|R$3.490.966,18|R$771,32|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
13|22/12/2003|3.0|5.0|6.0|7.0|8.0|9.0|10.0|11.0|13.0|14.0|15.0|16.0|17.0|19.0|23.0|R$0,00|3.0|PRRJSP|714.0|27399.0|320961.0|1501354.0|R$269.157,25|R$482,84|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
14|29/12/2003|1.0|2.0|5.0|6.0|7.0|9.0|13.0|14.0|15.0|18.0|19.0|20.0|21.0|23.0|25.0|R$0,00|3.0|RSSP|444.0|15413.0|214582.0|1149506.0|R$411.362,89|R$1.191,21|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
15|05/01/2004|1.0|2.0|4.0|6.0|8.0|10.0|12.0|15.0|16.0|18.0|19.0|21.0|23.0|24.0|25.0|R$0,00|22.0|DFESGOMGMTPEPRRJSP|2059.0|38038.0|379994.0|1198158.0|R$27.525,68|R$125,58|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
16|12/01/2004|2.0|5.0|6.0|7.0|8.0|10.0|12.0|13.0|15.0|17.0|19.0|21.0|23.0|24.0|25.0|R$0,00|9.0|ALDFMGPRRORSSP|1086.0|29005.0|329409.0|1471908.0|R$83.935,77|R$296,98|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
17|19/01/2004|1.0|2.0|3.0|5.0|6.0|7.0|9.0|13.0|14.0|16.0|17.0|18.0|19.0|20.0|21.0|R$0,00|1.0|SP|320.0|14425.0|232740.0|1083387.0|R$1.427.169,94|R$1.911,39|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
18|26/01/2004|2.0|6.0|7.0|8.0|10.0|11.0|14.0|15.0|17.0|18.0|19.0|20.0|22.0|23.0|24.0|R$0,00|3.0|MTRJTO|309.0|12373.0|174339.0|1079894.0|R$487.887,61|R$2.030,05|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
19|02/02/2004|2.0|5.0|6.0|7.0|8.0|10.0|11.0|13.0|14.0|15.0|16.0|17.0|20.0|23.0|24.0|R$0,00|10.0|GOMGMTPAPIRJSP|818.0|23594.0|326913.0|1333412.0|R$82.040,05|R$428,20|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
20|09/02/2004|3.0|4.0|6.0|7.0|8.0|9.0|10.0|14.0|16.0|17.0|18.0|19.0|20.0|23.0|24.0|R$0,00|9.0|BAMAMGMSPAPEPRSP|931.0|19580.0|266087.0|1462294.0|R$122.882,04|R$507,17|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
21|16/02/2004|1.0|2.0|4.0|5.0|8.0|11.0|14.0|16.0|18.0|19.0|20.0|22.0|23.0|24.0|25.0|R$0,00|3.0|BAGORJ|316.0|13077.0|203475.0|1211951.0|R$530.990,23|R$2.160,45|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
22|25/02/2004|1.0|2.0|3.0|4.0|5.0|6.0|7.0|9.0|10.0|12.0|13.0|14.0|15.0|22.0|25.0|R$0,00|1.0|BA|484.0|55372.0|152738.0|868693.0|R$1.081.149,89|R$957,34|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
23|01/03/2004|1.0|3.0|4.0|5.0|6.0|8.0|10.0|11.0|12.0|14.0|16.0|17.0|18.0|19.0|20.0|R$0,00|1.0|SE|541.0|16248.0|215670.0|1187602.0|R$1.178.452,05|R$933,55|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
24|08/03/2004|1.0|2.0|3.0|5.0|7.0|10.0|11.0|14.0|17.0|19.0|20.0|21.0|23.0|24.0|25.0|R$0,00|2.0|RJRO|585.0|22453.0|258724.0|1286374.0|R$662.295,89|R$970,40|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
25|15/03/2004|1.0|2.0|3.0|4.0|5.0|6.0|7.0|9.0|13.0|14.0|16.0|20.0|22.0|23.0|24.0|R$0,00|0.0||417.0|16108.0|213231.0|1288117.0|R$0,00|R$1.437,73|R$10,00|R$4,00|R$2,00|R$1.398.910,67|R$0,00|R$0,00
26|22/03/2004|5.0|7.0|8.0|9.0|10.0|11.0|13.0|14.0|16.0|17.0|19.0|20.0|21.0|22.0|23.0|R$0,00|3.0|PESP|602.0|22397.0|317722.0|1659205.0|R$970.676,17|R$1.077,21|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
27|29/03/2004|3.0|6.0|8.0|10.0|11.0|12.0|13.0|14.0|15.0|18.0|20.0|21.0|22.0|24.0|25.0|R$0,00|2.0|DFSP|466.0|15650.0|216827.0|1192912.0|R$811.005,39|R$1.491,73|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
28|05/04/2004|1.0|3.0|7.0|9.0|10.0|11.0|12.0|13.0|14.0|16.0|17.0|18.0|19.0|20.0|21.0|R$0,00|2.0|GOMT|556.0|22300.0|307113.0|1363336.0|R$536.916,65|R$827,73|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
29|12/04/2004|1.0|4.0|5.0|6.0|8.0|9.0|13.0|14.0|16.0|17.0|19.0|20.0|21.0|22.0|24.0|R$0,00|5.0|CEMGRJRSSP|456.0|14375.0|181147.0|1203109.0|R$317.538,81|R$1.492,19|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
30|19/04/2004|1.0|2.0|3.0|4.0|6.0|7.0|8.0|11.0|14.0|17.0|19.0|20.0|21.0|22.0|23.0|R$0,00|2.0|MGSP|345.0|13480.0|184916.0|1136035.0|R$813.271,34|R$2.020,55|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
31|26/04/2004|1.0|2.0|3.0|4.0|9.0|13.0|14.0|15.0|17.0|19.0|20.0|21.0|22.0|24.0|25.0|R$0,00|3.0|DFESSP|250.0|13005.0|189635.0|1161305.0|R$503.451,70|R$2.589,18|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
32|03/05/2004|1.0|2.0|4.0|6.0|7.0|9.0|10.0|11.0|14.0|15.0|16.0|17.0|20.0|22.0|23.0|R$0,00|2.0|BASP|384.0|14060.0|199525.0|1175480.0|R$706.634,89|R$1.577,31|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
33|10/05/2004|1.0|2.0|5.0|7.0|8.0|10.0|11.0|12.0|14.0|16.0|19.0|20.0|21.0|23.0|24.0|R$0,00|9.0|BAESGOMAPRRJSESP|1358.0|35450.0|328729.0|1417927.0|R$109.171,84|R$308,91|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
34|17/05/2004|1.0|2.0|4.0|7.0|8.0|9.0|10.0|11.0|15.0|16.0|18.0|19.0|20.0|21.0|23.0|R$0,00|0.0||407.0|16589.0|216210.0|1359006.0|R$0,00|R$1.381,20|R$10,00|R$4,00|R$2,00|R$1.311.675,01|R$0,00|R$0,00
35|24/05/2004|1.0|4.0|5.0|6.0|11.0|12.0|13.0|14.0|16.0|17.0|19.0|21.0|22.0|23.0|25.0|R$0,00|1.0|RS|291.0|12750.0|191524.0|1338198.0|R$3.155.820,04|R$2.715,98|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
36|31/05/2004|1.0|4.0|5.0|7.0|8.0|10.0|11.0|14.0|17.0|19.0|20.0|21.0|22.0|23.0|24.0|R$0,00|6.0|BADFPEPRRSSP|1573.0|40526.0|453277.0|1414816.0|R$92.828,37|R$151,18|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
37|07/06/2004|1.0|3.0|4.0|5.0|8.0|9.0|10.0|11.0|13.0|15.0|20.0|21.0|22.0|23.0|24.0|R$0,00|1.0|MT|283.0|11976.0|182815.0|1220504.0|R$1.371.528,32|R$2.077,02|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
38|14/06/2004|1.0|2.0|3.0|6.0|7.0|8.0|9.0|10.0|13.0|14.0|15.0|16.0|22.0|24.0|25.0|R$0,00|0.0||298.0|12361.0|181763.0|1122407.0|R$0,00|R$2.240,91|R$10,00|R$4,00|R$2,00|R$1.558.182,50|R$0,00|R$0,00
39|21/06/2004|2.0|7.0|8.0|9.0|11.0|13.0|14.0|15.0|17.0|18.0|19.0|21.0|22.0|23.0|24.0|R$0,00|3.0|RJSP|915.0|31607.0|352332.0|1626512.0|R$888.003,60|R$516,00|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
40|28/06/2004|1.0|2.0|5.0|7.0|8.0|10.0|12.0|13.0|14.0|16.0|17.0|20.0|21.0|22.0|24.0|R$0,00|9.0|BADFMGRSSCSP|650.0|20792.0|266561.0|1331593.0|R$129.462,67|R$765,33|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
41|05/07/2004|2.0|3.0|4.0|9.0|12.0|13.0|15.0|16.0|17.0|18.0|19.0|20.0|21.0|23.0|25.0|R$0,00|5.0|DFRSSP|431.0|16555.0|218669.0|1304019.0|R$285.091,61|R$1.417,43|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
42|12/07/2004|1.0|3.0|4.0|5.0|6.0|8.0|11.0|12.0|14.0|15.0|17.0|21.0|22.0|24.0|25.0|R$0,00|1.0|SP|351.0|14288.0|205537.0|1065540.0|R$1.731.431,15|R$2.114,08|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
43|19/07/2004|1.0|3.0|6.0|7.0|8.0|9.0|10.0|14.0|17.0|18.0|19.0|20.0|22.0|23.0|24.0|R$0,00|2.0|MS|448.0|31225.0|257520.0|1394077.0|R$550.553,79|R$1.053,36|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
44|26/07/2004|3.0|4.0|5.0|6.0|10.0|11.0|12.0|13.0|14.0|18.0|19.0|21.0|23.0|24.0|25.0|R$0,00|0.0||334.0|12675.0|172526.0|1140441.0|R$0,00|R$2.056,93|R$10,00|R$4,00|R$2,00|R$1.603.036,94|R$0,00|R$0,00
45|02/08/2004|1.0|2.0|3.0|5.0|7.0|9.0|14.0|16.0|17.0|18.0|19.0|21.0|23.0|24.0|25.0|R$0,00|4.0|MGPASP|602.0|23232.0|353114.0|1591989.0|R$731.525,88|R$941,91|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
46|09/08/2004|1.0|2.0|4.0|5.0|6.0|8.0|10.0|11.0|14.0|18.0|19.0|21.0|23.0|24.0|25.0|R$0,00|4.0|DFSP|825.0|24898.0|340899.0|1460500.0|R$308.549,13|R$638,71|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
47|16/08/2004|1.0|2.0|3.0|4.0|5.0|6.0|8.0|10.0|11.0|13.0|15.0|18.0|20.0|22.0|25.0|R$0,00|16.0|BAMTPAPEPRRJSESP|933.0|25668.0|259783.0|1267303.0|R$94.685,43|R$693,26|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
48|23/08/2004|2.0|5.0|6.0|7.0|11.0|13.0|15.0|16.0|17.0|18.0|19.0|20.0|21.0|22.0|23.0|R$0,00|2.0|DFGO|331.0|13606.0|193466.0|1299636.0|R$777.343,31|R$2.012,97|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
49|30/08/2004|2.0|4.0|5.0|6.0|8.0|11.0|13.0|15.0|16.0|19.0|20.0|21.0|22.0|23.0|24.0|R$0,00|0.0||673.0|22438.0|282506.0|1269761.0|R$0,00|R$806,00|R$10,00|R$4,00|R$2,00|R$1.265.682,65|R$0,00|R$0,00
50|06/09/2004|1.0|2.0|3.0|6.0|7.0|9.0|10.0|11.0|12.0|13.0|19.0|20.0|21.0|23.0|25.0|R$0,00|1.0|SP|659.0|21583.0|298054.0|1545777.0|R$2.776.089,01|R$982,27|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
51|13/09/2004|1.0|3.0|5.0|6.0|7.0|8.0|11.0|13.0|14.0|16.0|17.0|20.0|21.0|22.0|23.0|R$0,00|2.0|GOSP|765.0|22722.0|302341.0|1520867.0|R$545.229,30|R$608,58|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
52|20/09/2004|1.0|2.0|4.0|8.0|9.0|11.0|12.0|13.0|15.0|16.0|21.0|22.0|23.0|24.0|25.0|R$0,00|3.0|MASCSP|420.0|24265.0|205595.0|1156747.0|R$532.065,25|R$1.628,77|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
53|27/09/2004|1.0|2.0|3.0|6.0|7.0|9.0|11.0|12.0|14.0|17.0|18.0|19.0|20.0|23.0|24.0|R$0,00|4.0|AMRJSP|564.0|19767.0|262234.0|1425498.0|R$269.887,95|R$820,33|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
54|04/10/2004|2.0|4.0|5.0|6.0|7.0|8.0|9.0|12.0|14.0|16.0|18.0|20.0|21.0|22.0|24.0|R$0,00|27.0|BAESGOMGMSMTPAPRRJRORSSP|2269.0|40058.0|272073.0|1157000.0|R$46.149,84|R$234,47|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
55|11/10/2004|2.0|3.0|4.0|5.0|6.0|7.0|8.0|9.0|12.0|13.0|15.0|16.0|18.0|19.0|25.0|R$0,00|6.0|MARSSP|682.0|24083.0|253488.0|1334310.0|R$213.174,74|R$803,76|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
56|18/10/2004|1.0|2.0|5.0|9.0|12.0|13.0|14.0|15.0|16.0|17.0|19.0|20.0|22.0|23.0|24.0|R$0,00|0.0||401.0|17323.0|225472.0|1396834.0|R$0,00|R$1.427,28|R$10,00|R$4,00|R$2,00|R$1.335.461,47|R$0,00|R$0,00
57|25/10/2004|1.0|2.0|3.0|4.0|6.0|7.0|8.0|11.0|12.0|17.0|19.0|20.0|21.0|22.0|25.0|R$0,00|1.0|MG|571.0|33796.0|229355.0|1390034.0|R$3.278.857,27|R$1.458,64|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
58|01/11/2004|3.0|4.0|5.0|6.0|11.0|12.0|13.0|14.0|15.0|16.0|17.0|18.0|19.0|20.0|22.0|R$0,00|6.0|DFMGPRRJSP|559.0|17361.0|165098.0|1095964.0|R$294.482,82|R$1.354,64|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
59|08/11/2004|1.0|3.0|5.0|6.0|7.0|8.0|10.0|11.0|13.0|14.0|15.0|19.0|20.0|23.0|25.0|R$0,00|2.0|MGSP|662.0|27187.0|351810.0|1707263.0|R$439.884,44|R$567,39|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
60|16/11/2004|1.0|2.0|3.0|4.0|5.0|8.0|11.0|16.0|17.0|18.0|19.0|22.0|23.0|24.0|25.0|R$0,00|3.0|MGPRSP|362.0|30873.0|165747.0|1022631.0|R$485.556,53|R$1.724,55|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
61|22/11/2004|1.0|4.0|5.0|9.0|11.0|12.0|13.0|14.0|15.0|16.0|19.0|20.0|22.0|23.0|25.0|R$0,00|2.0|ESTO|300.0|14553.0|253317.0|1311870.0|R$698.017,29|R$1.994,34|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
62|29/11/2004|1.0|3.0|7.0|8.0|9.0|11.0|13.0|14.0|15.0|16.0|17.0|18.0|20.0|24.0|25.0|R$0,00|5.0|GOMTPRSP|432.0|19513.0|234116.0|1336449.0|R$282.087,66|R$1.399,25|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
63|06/12/2004|4.0|8.0|9.0|10.0|11.0|12.0|13.0|16.0|17.0|19.0|20.0|21.0|22.0|24.0|25.0|R$0,00|2.0|GORJ|379.0|15221.0|209528.0|1301392.0|R$870.856,42|R$1.969,52|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
64|13/12/2004|1.0|2.0|3.0|6.0|7.0|8.0|9.0|10.0|13.0|14.0|17.0|18.0|20.0|23.0|25.0|R$0,00|4.0|PAROSP|525.0|20308.0|280806.0|1586899.0|R$323.455,35|R$1.056,18|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
65|20/12/2004|1.0|2.0|4.0|7.0|10.0|15.0|16.0|17.0|18.0|19.0|20.0|21.0|22.0|23.0|25.0|R$0,00|0.0||300.0|13067.0|218281.0|1147456.0|R$0,00|R$2.735,19|R$10,00|R$4,00|R$2,00|R$1.914.633,24|R$0,00|R$0,00
66|27/12/2004|1.0|2.0|4.0|8.0|10.0|11.0|14.0|15.0|16.0|17.0|20.0|21.0|22.0|23.0|24.0|R$0,00|8.0|BACEMGPRSP|834.0|25470.0|309390.0|1631513.0|R$434.105,49|R$800,73|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
67|03/01/2005|5.0|7.0|8.0|9.0|10.0|11.0|12.0|13.0|15.0|16.0|20.0|21.0|22.0|23.0|24.0|R$0,00|4.0|DFPRSPTO|294.0|12324.0|205063.0|1212285.0|R$394.429,73|R$2.299,88|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
68|10/01/2005|1.0|2.0|3.0|5.0|6.0|7.0|8.0|9.0|10.0|12.0|16.0|17.0|22.0|23.0|25.0|R$0,00|2.0|RSSP|368.0|14579.0|211030.0|1291340.0|R$853.689,74|R$1.988,41|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
69|17/01/2005|1.0|4.0|7.0|8.0|9.0|10.0|11.0|15.0|17.0|18.0|19.0|20.0|21.0|23.0|24.0|R$0,00|4.0|DFRSSCSP|619.0|34720.0|283047.0|1543014.0|R$296.233,16|R$820,40|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
70|24/01/2005|1.0|2.0|3.0|5.0|6.0|9.0|10.0|12.0|14.0|15.0|16.0|19.0|20.0|24.0|25.0|R$0,00|6.0|MGPEPRRSSP|611.0|19413.0|230116.0|1265554.0|R$264.323,93|R$1.112,42|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
71|31/01/2005|1.0|3.0|5.0|6.0|8.0|9.0|11.0|13.0|14.0|15.0|16.0|18.0|21.0|22.0|23.0|R$0,00|4.0|GOPERSSP|744.0|21490.0|276234.0|1289869.0|R$349.187,58|R$804,58|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
72|09/02/2005|1.0|2.0|5.0|7.0|8.0|11.0|12.0|13.0|15.0|16.0|17.0|18.0|23.0|24.0|25.0|R$0,00|2.0|RSSP|485.0|16561.0|198957.0|1178585.0|R$571.665,39|R$1.010,31|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
73|14/02/2005|1.0|2.0|5.0|7.0|10.0|11.0|13.0|14.0|15.0|16.0|17.0|18.0|19.0|21.0|25.0|R$0,00|3.0|PAPRSC|401.0|16615.0|240646.0|1388168.0|R$404.461,66|R$1.296,82|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
74|21/02/2005|1.0|2.0|3.0|4.0|5.0|6.0|8.0|11.0|13.0|15.0|16.0|18.0|22.0|23.0|25.0|R$0,00|7.0|MSMTPRSP|861.0|36320.0|325482.0|1342101.0|R$165.704,35|R$575,18|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
75|28/02/2005|1.0|3.0|4.0|5.0|6.0|7.0|8.0|10.0|11.0|13.0|15.0|16.0|17.0|20.0|25.0|R$0,00|2.0|RJSC|564.0|22764.0|330303.0|1538522.0|R$531.264,65|R$807,39|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
76|07/03/2005|1.0|3.0|5.0|8.0|9.0|10.0|12.0|13.0|15.0|16.0|17.0|19.0|21.0|23.0|25.0|R$0,00|13.0|BAMGPERJRSSESP|2705.0|63452.0|463129.0|1672037.0|R$49.566,81|R$101,71|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
77|14/03/2005|2.0|3.0|4.0|6.0|8.0|9.0|11.0|14.0|17.0|18.0|20.0|21.0|22.0|24.0|25.0|R$0,00|4.0|MGPRSP|742.0|21609.0|228257.0|1213259.0|R$434.837,87|R$1.004,63|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
78|21/03/2005|1.0|2.0|3.0|5.0|6.0|7.0|8.0|12.0|13.0|15.0|16.0|17.0|18.0|20.0|23.0|R$0,00|1.0|PA|643.0|23291.0|317982.0|1617133.0|R$1.007.644,94|R$669,06|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
79|28/03/2005|1.0|2.0|3.0|5.0|9.0|12.0|14.0|15.0|17.0|18.0|20.0|22.0|23.0|24.0|25.0|R$0,00|1.0|DF|443.0|17526.0|230930.0|1249856.0|R$1.429.789,18|R$1.383,22|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
80|04/04/2005|1.0|2.0|3.0|4.0|5.0|7.0|9.0|10.0|14.0|15.0|17.0|18.0|20.0|22.0|25.0|R$0,00|1.0|RN|502.0|19706.0|292151.0|1294632.0|R$1.387.219,92|R$1.184,31|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
81|11/04/2005|1.0|2.0|3.0|4.0|5.0|6.0|7.0|10.0|11.0|13.0|15.0|16.0|17.0|19.0|21.0|R$0,00|6.0|BAPAPIRJSP|866.0|29787.0|387171.0|1619963.0|R$160.734,67|R$475,46|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
82|18/04/2005|1.0|4.0|5.0|6.0|8.0|9.0|12.0|13.0|15.0|17.0|18.0|19.0|20.0|22.0|23.0|R$0,00|4.0|BAMAPRSP|636.0|20746.0|250768.0|1418972.0|R$378.128,77|R$1.019,22|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
83|25/04/2005|1.0|2.0|3.0|5.0|6.0|8.0|10.0|11.0|12.0|13.0|14.0|20.0|23.0|24.0|25.0|R$0,00|3.0|BAMSSP|505.0|19766.0|290953.0|1615749.0|R$370.701,93|R$943,79|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
84|02/05/2005|1.0|2.0|4.0|6.0|8.0|12.0|15.0|16.0|17.0|19.0|20.0|22.0|23.0|24.0|25.0|R$0,00|2.0|RSSP|525.0|21813.0|263703.0|1419482.0|R$729.194,11|R$1.190,52|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
85|09/05/2005|1.0|2.0|5.0|7.0|8.0|9.0|11.0|13.0|14.0|15.0|16.0|18.0|21.0|22.0|23.0|R$0,00|13.0|BAMGMTPRRJSP|988.0|41716.0|303054.0|1673514.0|R$86.488,60|R$485,87|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
86|16/05/2005|2.0|4.0|5.0|6.0|8.0|9.0|12.0|13.0|14.0|17.0|18.0|19.0|23.0|24.0|25.0|R$0,00|14.0|AMCEDFMGPASP|1437.0|33924.0|344925.0|1583126.0|R$81.060,95|R$337,18|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
87|23/05/2005|1.0|2.0|3.0|5.0|8.0|9.0|10.0|11.0|13.0|15.0|18.0|20.0|22.0|24.0|25.0|R$0,00|14.0|DFMGPAPRSP|1308.0|46044.0|353024.0|1711252.0|R$62.917,54|R$287,52|R$10,00|R$4,00|R$2,00|R$0,00|R$0,00|R$0,00
